Group,CABIN-W19,CABIN-W39,CABIN-W298,CABIN-W299,CABIN-W418,CABIN-W419,CABIN-W450,CABIN-W478,CABIN-W478-2,CABIN-W605,CABIN-W638,CABIN-W638-2,CABIN-W670,CABIN-W679,CABIN-W680,CABIN-W681,CABIN-W694,CABIN-W695,CABIN-W696,CABIN-W710,CABIN-W711,CABIN-W712,CABIN-W725,CABIN-W727,CABIN-W742,CABIN-W743,CABIN-W757,CABIN-W758,Mean,Min,Max,Total,Sites Present,% Sites Present,,
Porifera,7,0,0,5,0,0,0,0,0,19,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.25,0,19,35,6,21.43,,
Hydrozoa,6,0,0,0,0,1,0,2,0,10,1,3,8,0,2,3,2,0,0,2,0,0,0,26,6,1,0,0,2.61,0,26,73,14,50.00,,
Platyhelminthes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.11,0,1,3,3,10.71,,
Nematoda,2,0,0,0,0,2,10,0,0,0,1,2,29,0,0,0,1,4,2,33,16,2,6,1,0,0,12,1,4.43,0,33,124,16,57.14,,
Oligochaeta,51,1,2,187,33,123,110,8,14,88,98,28,252,14,0,43,46,135,116,14,39,25,11,58,21,5,180,178,67.14,0,252,1880,27,96.43,,
Hirudinea,1,1,1,4,0,0,2,0,0,1,0,1,0,0,4,8,3,0,0,0,0,0,0,0,4,0,1,1,1.14,0,8,32,13,46.43,,
Gastropoda,32,5,2,78,3,10,11,3,1,135,5,10,24,0,32,119,24,2,5,6,0,0,1,6,1,180,2,20,25.61,0,180,717,25,89.29,,
Bivalvia,0,22,1,3,1,4,16,1,0,27,13,13,26,4,0,0,4,22,2,0,0,0,8,0,0,2,5,2,6.29,0,27,176,19,67.86,,
Hydrachnidia,15,9,33,26,4,38,28,148,130,13,6,12,21,2,3,18,9,14,16,81,8,11,6,12,2,11,8,7,24.68,2,148,691,28,100.00,,
Cladocera,259,1037,1034,383,65,1024,355,5701,5227,60,17,144,44,1865,951,501,106,820,101,262,605,1192,131,132,387,233,125,187,819.57,17,5701,22948,28,100.00,,
Ostracoda,131,1,38,35,16,9,1,2,2,59,43,36,7,0,1085,6,26,23,7,31,37,289,3,84,0,16,46,49,74.36,0,1085,2082,26,92.86,,
Copepoda,87,24,177,50,45,102,83,223,73,32,25,12,29,631,368,240,18,204,37,215,75,1008,125,106,22,106,17,15,148.18,12,1008,4149,28,100.00,,
Amphipoda,52,54,57,325,1,20,11,16,20,89,11,17,8,8,191,32,52,17,4,3,0,0,59,3,30,32,46,17,41.96,0,325,1175,26,92.86,,
Isopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Decapoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Ephemeroptera,182,4,3,57,3,48,2,5,0,121,25,69,27,1,4,3,22,8,65,13,0,0,0,30,0,0,9,5,25.21,0,182,706,22,78.57,,
Anisoptera,4,0,0,7,0,4,7,0,0,14,7,15,9,0,0,0,0,3,6,0,0,0,0,9,0,0,1,1,3.11,0,15,87,13,46.43,,
Zygoptera,19,3,1,26,4,3,7,1,1,15,10,21,7,0,0,2,5,3,2,0,11,0,0,13,0,4,0,41,7.11,0,41,199,21,75.00,,
Plecoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Hemiptera,1,47,19,8,3,10,9,21,10,3,4,1,1,2,6,17,0,5,0,38,93,130,3,3,3,21,1,2,16.46,0,130,461,26,92.86,,
Megaloptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Lepidoptera,0,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.54,0,10,15,6,21.43,,
Trichoptera,9,119,67,4,0,4,4,3,1,2,11,5,2,1,1,1,4,7,2,0,0,0,0,5,0,2,12,2,9.57,0,119,268,22,78.57,,
Coleoptera (adults),0,15,4,0,0,3,1,2,2,0,0,0,0,0,0,0,1,0,0,1,17,0,1,0,0,2,0,0,1.75,0,17,49,11,39.29,,
Coleoptera (larvae),0,2,2,1,0,1,0,3,4,4,0,0,0,4,5,4,0,0,2,22,33,1,0,1,4,21,1,1,4.14,0,33,116,19,67.86,,
Chironomidae,125,18,16,207,14,28,99,18,14,71,169,97,156,14,158,94,130,89,76,112,78,56,33,153,18,26,20,87,77.71,14,207,2176,28,100.00,,
Ceratopogonidae,29,0,0,10,0,5,2,1,0,14,5,8,7,0,0,0,2,5,5,5,0,1,2,4,0,1,26,1,4.75,0,29,133,19,67.86,,
Tabanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Tipulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04,0,1,1,1,3.57,,
Culicidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Chaoboridae,0,0,97,1,0,0,5,1,0,1,0,3,0,2,0,0,0,2,0,3,7,0,190,9,219,0,0,2,19.36,0,219,542,14,50.00,,
Simuliidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Other Diptera,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,0,0,2,1.14,0,22,32,6,21.43,,
Other:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,12.57,0,352,352,1,3.57,,
Damaged Organisms,14,4,36,19,9,0,30,0,0,13,5,1,16,0,3,37,6,25,6,5,40,3,3,4,5,2,7,1,10.50,0,40,294,,,,
Primary Organisms,520,312,305,943,66,302,317,231,197,600,364,300,540,52,404,715,302,312,305,299,286,224,314,306,302,307,313,369,350.25,52,943,9807,<300,7,,
Secondary Organisms,492,1062,1249,473,126,1138,449,5928,5302,180,87,198,119,2496,2406,750,153,1051,148,544,733,2491,265,350,415,356,201,252,1050.50,87,5928,29414,,,,
Total Organisms,1012,1374,1554,1416,192,1440,766,6159,5499,780,451,498,659,2548,2810,1465,455,1363,453,843,1019,2715,579,656,717,663,514,621,1400.75,192,6159,39221,,,,
Marchant Cells Counted,5,34,15,5,100,22,12,100,100,5,5,7,5,2,4,5,39,21,17,34,100,4,6,8,27,21,7,7,25.61,2,100,717,,,,
Unique/Mature Search,7,6,19,12,VNA,11,8,VNA,VNA,13,9,22,5,1,5,12,0,0,6,12,VNA,8,4,8,5,14,8,8,8.46,0,22,203,,,,
Groups,18,18,17,19,12,20,21,18,13,22,17,20,18,12,13,17,17,17,19,18,12,10,14,19,12,16,19,20,16.71,10,22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced ID total,,2603,,,,
Other =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
